class,Alcohol,Alcalinity of ash,Total phenols,Flavanoids,Color intensity,Hue,OD280/OD315 of diluted wines,Proline 
3,13.48,22.5,2.6,1.1,11.75,0.57,1.78,620
3,12.36,21,2.3,0.92,7.65,0.56,1.58,520
3,13.69,20,1.83,0.56,5.88,0.96,1.82,680
3,12.85,22,1.65,0.6,5.58,0.87,2.11,570
3,12.96,18.5,1.39,0.7,5.28,0.68,1.75,675
3,13.78,22,1.35,0.68,9.58,0.7,1.68,615
3,13.73,22.5,1.28,0.47,6.62,0.78,1.75,520
3,13.45,23,1.7,0.92,10.68,0.85,1.56,695
3,12.82,19.5,1.48,0.66,10.26,0.72,1.75,685
3,13.58,24.5,1.55,0.84,8.66,0.74,1.8,750
3,13.4,25,1.98,0.96,8.5,0.67,1.92,630
3,12.2,19,1.25,0.49,5.5,0.66,1.83,510
3,12.77,19.5,1.39,0.51,9.899999,0.57,1.63,470
3,14.16,20,1.68,0.7,9.7,0.62,1.71,660
3,13.71,20.5,1.68,0.61,7.7,0.64,1.74,740
3,13.4,23,1.8,0.75,7.3,0.7,1.56,750
3,13.27,20,1.59,0.69,10.2,0.59,1.56,835
3,13.17,20,1.65,0.68,9.3,0.6,1.62,840
3,14.13,24.5,2.05,0.76,9.2,0.61,1.6,560
